Datetime;Latitude;Longitude;Altitude;Distance;HeartRate;Speed;Cadence;Watts
2020-10-10 10:55:22+00:00;61.49018011987209;23.770403573289514;85.4000015258789;11497.330078125;178;3.6389999389648438;None;None
2020-10-10 10:55:23+00:00;61.490180203691125;23.770471466705203;85.4000015258789;11500.919921875;178;3.6389999389648438;None;None
2020-10-10 10:55:24+00:00;61.49017324671149;23.77052804455161;85.19999694824219;11504.0302734375;177;3.630000114440918;None;None
2020-10-10 10:55:25+00:00;61.49015732109547;23.770569786429405;85.4000015258789;11506.8701171875;178;3.630000114440918;None;None
2020-10-10 10:55:26+00:00;61.49013301357627;23.770604571327567;85.19999694824219;11510.150390625;178;3.630000114440918;None;None
2020-10-10 10:55:27+00:00;61.490103928372264;23.770633237436414;85.19999694824219;11513.73046875;179;3.619999885559082;None;None
2020-10-10 10:55:28+00:00;61.49007107131183;23.770652348175645;85.0;11517.5400390625;179;3.619999885559082;None;None
2020-10-10 10:55:29+00:00;61.49003771133721;23.77066877670586;85.0;11521.349609375;178;3.6110000610351562;None;None
2020-10-10 10:55:30+00:00;61.490005273371935;23.770682271569967;85.0;11525.0302734375;178;3.6110000610351562;None;None
2020-10-10 10:55:31+00:00;61.489970656111836;23.770699203014374;85.0;11528.990234375;178;3.6019999980926514;None;None
2020-10-10 10:55:32+00:00;61.48993855342269;23.770719151943922;84.80000305175781;11532.7197265625;179;3.6019999980926514;None;None
2020-10-10 10:55:33+00:00;61.489909049123526;23.77074589021504;85.0;11536.2998046875;179;3.6019999980926514;None;None
2020-10-10 10:55:34+00:00;61.48988080210984;23.77077581360936;85.19999694824219;11539.830078125;178;3.6019999980926514;None;None
2020-10-10 10:55:35+00:00;61.48985406383872;23.770807832479477;85.19999694824219;11543.259765625;179;3.6019999980926514;None;None
2020-10-10 10:55:36+00:00;61.489825397729874;23.77084018662572;85.5999984741211;11546.8896484375;179;3.6019999980926514;None;None
2020-10-10 10:55:37+00:00;61.48979916237295;23.770871618762612;85.80000305175781;11550.259765625;179;3.6019999980926514;None;None
2020-10-10 10:55:38+00:00;61.48977259173989;23.770907409489155;86.4000015258789;11553.7802734375;179;3.6019999980926514;None;None
2020-10-10 10:55:39+00:00;61.48974359035492;23.770937249064445;86.4000015258789;11557.3603515625;179;3.6019999980926514;None;None
2020-10-10 10:55:40+00:00;61.48971810936928;23.77096239477396;86.4000015258789;11560.5;179;3.6019999980926514;None;None
